kx,ifmx,ifmy,zin,zout,stridex,pad_x,group,latency,energy
3.0,112.0,112.0,32.0,32.0,1.0,1.0,32.0,30844.0,6510100.927999999
1.0,112.0,112.0,32.0,32.0,1.0,0.0,1.0,14526.0,4179842.528
1.0,112.0,112.0,32.0,96.0,1.0,0.0,1.0,57025.0,17451636.112
3.0,56.0,56.0,96.0,96.0,2.0,1.0,96.0,9471.0,1909949.2319999998
1.0,56.0,56.0,96.0,16.0,1.0,0.0,1.0,5224.0,1120276.5439999998
1.0,56.0,56.0,16.0,144.0,1.0,0.0,1.0,20268.0,5536404.288000002
3.0,28.0,28.0,144.0,144.0,2.0,1.0,144.0,5498.0,833170.5279999998
1.0,28.0,28.0,144.0,24.0,1.0,0.0,1.0,4328.0,822556.96
1.0,28.0,28.0,24.0,240.0,1.0,0.0,1.0,8651.0,2351823.28
3.0,14.0,14.0,240.0,240.0,2.0,1.0,240.0,3699.0,406312.17600000004
1.0,14.0,14.0,240.0,40.0,1.0,0.0,1.0,5711.0,665267.632
1.0,14.0,14.0,40.0,384.0,1.0,0.0,1.0,7452.0,1107811.392
3.0,14.0,14.0,384.0,384.0,1.0,1.0,384.0,10055.0,1641875.056
1.0,14.0,14.0,384.0,64.0,1.0,0.0,1.0,8799.0,1039454.64
1.0,14.0,14.0,64.0,672.0,1.0,0.0,1.0,16519.0,2644084.4000000004
5.0,7.0,7.0,672.0,672.0,2.0,2.0,672.0,20192.0,1436777.2480000001
1.0,7.0,7.0,672.0,112.0,1.0,0.0,1.0,13207.0,1257363.728
1.0,7.0,7.0,112.0,1296.0,1.0,0.0,1.0,23327.0,2596377.6640000003
5.0,7.0,7.0,1296.0,1296.0,1.0,2.0,1296.0,38252.0,4234295.248
1.0,7.0,7.0,1296.0,216.0,1.0,0.0,1.0,44551.0,4756088.624
1.0,7.0,7.0,216.0,216.0,1.0,0.0,1.0,8507.0,914862.064
1.0,7.0,7.0,216.0,1296.0,1.0,0.0,1.0,40008.0,4682028.336000001
1.0,7.0,7.0,1296.0,1296.0,1.0,0.0,1.0,213174.0,24430777.776
3.0,112.0,112.0,3.0,32.0,2.0,1.0,1.0,8035.0,1442349.2959999999
