kx,ifmx,ifmy,zin,zout,stridex,pad_x,group,latency,energy
3.0,112.0,112.0,24.0,24.0,1.0,1.0,24.0,30276.0,6923012.927999999
1.0,112.0,112.0,24.0,24.0,1.0,0.0,1.0,15814.0,5396832.607999999
1.0,112.0,112.0,24.0,80.0,1.0,0.0,1.0,51349.0,17435564.24
3.0,56.0,56.0,80.0,80.0,2.0,1.0,80.0,9183.0,1902461.2319999998
1.0,56.0,56.0,80.0,16.0,1.0,0.0,1.0,4440.0,843689.152
1.0,56.0,56.0,16.0,192.0,1.0,0.0,1.0,20268.0,5536404.288000002
3.0,28.0,28.0,192.0,192.0,2.0,1.0,192.0,5682.0,837954.5279999998
1.0,28.0,28.0,192.0,32.0,1.0,0.0,1.0,5688.0,1130565.168
1.0,28.0,28.0,32.0,128.0,1.0,0.0,1.0,4865.0,1193815.632
5.0,14.0,14.0,128.0,128.0,2.0,2.0,128.0,5135.0,442056.9759999999
1.0,14.0,14.0,128.0,32.0,1.0,0.0,1.0,1713.0,193010.224
1.0,14.0,14.0,32.0,384.0,1.0,0.0,1.0,6289.0,1084618.256
3.0,14.0,14.0,384.0,384.0,1.0,1.0,384.0,10055.0,1641875.056
1.0,14.0,14.0,384.0,64.0,1.0,0.0,1.0,8799.0,1039454.64
1.0,14.0,14.0,64.0,672.0,1.0,0.0,1.0,16519.0,2644084.4000000004
3.0,7.0,7.0,672.0,672.0,2.0,1.0,672.0,8956.0,686227.4240000001
1.0,7.0,7.0,672.0,112.0,1.0,0.0,1.0,13207.0,1257363.728
1.0,7.0,7.0,112.0,1152.0,1.0,0.0,1.0,20099.0,2228181.7120000003
5.0,7.0,7.0,1152.0,1152.0,1.0,2.0,1152.0,33023.0,3635520.7840000005
1.0,7.0,7.0,1152.0,192.0,1.0,0.0,1.0,30900.0,3093176.112
1.0,7.0,7.0,192.0,224.0,1.0,0.0,1.0,7707.0,803274.0959999999
1.0,7.0,7.0,224.0,1344.0,1.0,0.0,1.0,41296.0,4460913.680000002
1.0,7.0,7.0,1344.0,1344.0,1.0,0.0,1.0,220860.0,24343442.64
3.0,112.0,112.0,3.0,24.0,2.0,1.0,1.0,8035.0,1543437.2959999999
