kx,ifmx,ifmy,zin,zout,stridex,pad_x,group,latency,energy
3.0,112.0,112.0,32.0,32.0,1.0,1.0,32.0,30844.0,6510100.927999999
1.0,112.0,112.0,32.0,32.0,1.0,0.0,1.0,14526.0,4179842.528
1.0,112.0,112.0,32.0,64.0,1.0,0.0,1.0,28624.0,8728717.056
3.0,56.0,56.0,64.0,64.0,2.0,1.0,64.0,6068.0,989619.6159999999
1.0,56.0,56.0,64.0,16.0,1.0,0.0,1.0,3656.0,842756.16
1.0,56.0,56.0,16.0,120.0,1.0,0.0,1.0,13545.0,3691794.192
5.0,28.0,28.0,120.0,120.0,2.0,2.0,120.0,10122.0,1171343.904
1.0,28.0,28.0,120.0,24.0,1.0,0.0,1.0,3881.0,717111.6640000001
1.0,28.0,28.0,24.0,240.0,1.0,0.0,1.0,8651.0,2351823.28
3.0,14.0,14.0,240.0,240.0,2.0,1.0,240.0,3699.0,406312.17600000004
1.0,14.0,14.0,240.0,40.0,1.0,0.0,1.0,5711.0,665267.632
1.0,14.0,14.0,40.0,384.0,1.0,0.0,1.0,7452.0,1107811.392
5.0,14.0,14.0,384.0,384.0,1.0,2.0,384.0,25519.0,3388009.7120000008
1.0,14.0,14.0,384.0,64.0,1.0,0.0,1.0,8799.0,1039454.64
1.0,14.0,14.0,64.0,768.0,1.0,0.0,1.0,17978.0,2883344.8000000007
5.0,7.0,7.0,768.0,768.0,2.0,2.0,768.0,21925.0,1564724.8159999999
1.0,7.0,7.0,768.0,128.0,1.0,0.0,1.0,14979.0,1425942.8640000003
1.0,7.0,7.0,128.0,1152.0,1.0,0.0,1.0,22315.0,2440024.0160000003
3.0,7.0,7.0,1152.0,1152.0,1.0,1.0,1152.0,14577.0,1774623.792
1.0,7.0,7.0,1152.0,192.0,1.0,0.0,1.0,30900.0,3093176.112
1.0,7.0,7.0,192.0,224.0,1.0,0.0,1.0,7707.0,803274.0959999999
1.0,7.0,7.0,224.0,1344.0,1.0,0.0,1.0,41296.0,4460913.680000002
1.0,7.0,7.0,1344.0,1344.0,1.0,0.0,1.0,220860.0,24343442.64
3.0,112.0,112.0,3.0,32.0,2.0,1.0,1.0,8035.0,1442349.2959999999
